,year,per capita income (US$),pred_income_per_capita
0,1970,3399.299037,False
1,1971,3768.297935,False
2,1972,4251.175484,False
3,1973,4804.463248,False
4,1974,5576.514583,False
5,1975,5998.144346,False
6,1976,7062.131392,False
7,1977,7100.12617,False
8,1978,7247.967035,False
9,1979,7602.912681,False
10,1980,8355.96812,False
11,1981,9434.390652,False
12,1982,9619.438377,False
13,1983,10416.53659,False
14,1984,10790.32872,False
15,1985,11018.95585,False
16,1986,11482.89153,False
17,1987,12974.80662,False
18,1988,15080.28345,False
19,1989,16426.72548,False
20,1990,16838.6732,False
21,1991,17266.09769,False
22,1992,16412.08309,False
23,1993,15875.58673,False
24,1994,15755.82027,False
25,1995,16369.31725,False
26,1996,16699.82668,False
27,1997,17310.75775,False
28,1998,16622.67187,False
29,1999,17581.02414,False
30,2000,18987.38241,False
31,2001,18601.39724,False
32,2002,19232.17556,26376.322740408825
33,2003,22739.42628,False
34,2004,25719.14715,False
35,2005,29198.05569,False
36,2006,32738.2629,False
37,2007,36144.48122,False
38,2008,37446.48609,False
39,2009,32755.17682,False
40,2010,38420.52289,False
41,2011,42334.71121,False
42,2012,42665.25597,False
43,2013,42676.46837,False
44,2014,41039.8936,False
45,2015,35175.18898,False
46,2016,34229.19363,False
